Time,Total Velocity,Altitude,pogr_speed,pogr_altitude
0,4.141820834722757,1.2832864798838415,8.832139187071695,0.024646133555056123
1,4.743561288014551,2.218768039179011,8.832139187071695,0.024646133555056123
2,5.004917985067551,2.951784884256398,4.656437871562631,0.03276120192165905
3,5.381830373168947,3.8873240019048865,3.335961327520872,0.04308471276765961
4,5.874904773574547,5.080595049430656,2.729470898883401,0.05620101896696531
5,6.254917007920166,6.227757995937466,2.323349299699034,0.06871940447207604
6,6.636099389598792,7.471994384443548,2.0528153450362017,0.08219864012800833
7,7.133837561191356,9.032358643326276,1.890334603590406,0.09900883666465102
8,7.865264039087731,11.215969280261405,1.8224769449815468,0.12243928126170206
9,8.483549593945487,13.359674247785279,1.746220140649459,0.14516438887135638
10,9.102946405327652,15.685289010789305,1.6852759452856163,0.1695543883280689
11,9.725490824734113,18.193311273250657,1.63581044505856,0.19554911151904844
12,10.350485921743342,20.884299512532408,1.59484574751121,0.22308505904652806
13,10.978104549418887,23.758811997835224,1.56044411885355,0.2520951768943573
14,11.607842466235255,26.817466881443238,1.5311320941484083,0.2825099456874412
15,12.240400872274737,29.65278684818192,1.505977599737212,0.309990955028393
16,12.875829912355032,33.4894810344875,1.4842063283033877,0.34726054153432345
17,13.512780659379356,37.103958499216276,1.4650744599088354,0.38144475143587986
18,14.629599889727084,42.35684879385549,1.4970925755616737,0.4315243835437488
19,15.871695741986711,48.481135295963625,1.537741105194668,0.4892557445938127
20,17.96070082067255,58.963712360646525,1.6520816992171112,0.5891772379395094
21,19.94277964874926,71.078643985999,1.7459400846897948,0.7029433189884143
22,21.81679182667699,83.63614607549,1.8220312016950402,0.8183194589620233
23,23.701861768357897,95.045790431317,1.8921991855324916,0.9196928438063593
24,25.722153026098336,111.04232717158216,1.9666763066439432,1.062230239497751
25,27.261188311998033,123.3383444447917,1.9997058983344027,1.1659860438419785
26,29.302693429019875,138.88490099199703,2.0654755141911654,1.2970782985706404
27,31.356706752657956,156.28865270762446,2.1270465857940355,1.4414884730578608
28,33.42305518952089,174.7387079997347,2.1848562092737365,1.5911382160499223
29,35.125663212821735,192.1977272094402,2.2155709633389984,1.7273105025468964
30,37.088979802396025,209.44703317133911,2.2599930657615914,1.8572649697447536
31,39.56967644648543,235.29434140495619,2.3318928099953973,2.0581094873382453
32,41.17297270715409,254.39915005289515,2.349060965462728,2.1943985609596455
33,42.91094403763813,274.27720886880263,2.372522803682444,2.3325102673058233
34,44.916000292241606,297.46843258665996,2.408810352434207,2.493476966988726
35,46.93112137350256,321.6354318244909,2.4434163791218833,2.6568134461691013
36,48.95709391746183,345.4100631573709,2.4765199266536215,2.811073800964034
37,51.12122926224363,372.91440229577375,2.5145039650122594,2.9895037352657052
38,53.16559132595749,400.0341870334726,2.544625268549679,3.1583294038521186
39,54.95866307055212,423.5672022257296,2.5613700002968107,3.2928782423135363
40,57.02261034156162,454.0949509962009,2.5894755298550405,3.4755261341671684
41,58.96614195172004,484.09988774183194,2.610763108194288,3.6472171651279592
42,61.04942217238881,515.1098807645438,2.6369672684442063,3.819584093088226
43,62.4773971302403,538.4789200270669,2.6342122514752417,3.9293046194051793
44,64.97794013562545,574.8026997795362,2.6756748493085523,4.127072871069262
45,66.68727257003823,605.0252249686532,2.683331043355437,4.273885489325994
46,68.53777830844524,632.3123733105148,2.696123011847821,4.394008447641481
47,70.39616969049682,667.9224794435935,2.708584212192427,4.565545853984569
48,72.80476998851722,706.5428241046536,2.7411536892578376,4.7501132654512865
49,74.81587882110507,746.3062593257838,2.7576304644447927,4.934536717007339
50,75.33479512659586,760.169732970209,2.719490276352122,4.942790179297051
51,75.991658317803,776.240580648843,2.6877021873903972,4.963203281986288
52,76.512145383866,790.3687063490934,2.6523808881114284,4.969064146437667
53,77.17008103866077,806.7512509405956,2.6230426654991263,4.987027557534529
54,77.83021531485923,823.3023605868399,2.594837187511838,5.0037982923249755
55,78.35460257486524,837.8402812347614,2.5631899771367546,5.00638067879929
56,79.01688288345557,854.7045861197084,2.537079821189303,5.0209680501454175
57,79.8182729767742,873.9700426775029,2.516245355059562,5.0473792284213355
58,80.62263176660011,893.4576613347466,2.4961903592705568,5.072627573946992
59,81.29018973570342,910.8811609679278,2.472623645704694,5.083985853913035
60,81.95815190116704,928.4751882651251,2.4498298721769936,5.094396888618895
61,82.76698067090685,948.5767902306648,2.4318981526636727,5.116502805856429
62,83.5783526670877,966.5377730902014,2.4145892758079612,5.12505142583879
63,84.53016443321422,991.8475752911763,2.401791578484636,5.170176492227882
64,85.62298485227399,1015.0762194144194,2.3933020064919135,5.2016883234465805
65,87.00087218574899,1045.9759433848071,2.392876507864489,5.2693683819213994
66,88.80274533292666,1082.387908846588,2.4038943252047646,5.3606641528765815
67,90.61434622546521,1124.5837826892514,2.4147819018784493,5.4756473191759465
68,93.28120574598685,1175.4912328249773,2.4477315657503573,5.627062007817321
69,95.82024447312872,1232.961460849297,2.4763355306208075,5.802866010861594
70,97.94219571942156,1280.8954294376904,2.493422158761954,5.92721747231784
71,99.78570742918309,1324.2204724704952,2.502975983465626,6.024989543022641
72,101.63876148852354,1368.31864332045,2.512442833415488,6.121500831446117
73,104.36419517846255,1430.5685652392403,2.542849036758031,6.293192103344197
74,106.23660731673627,1482.4299627897553,2.551860502022361,6.412777407202167
75,106.80682695170975,1502.2966483641553,2.529733148825442,6.390816788425487
76,107.23199652957588,1519.2895104460154,2.504783681728555,6.356087181887239
77,107.8049304423417,1539.3947537652805,2.4838750532217606,6.333864498567129
