Time,Altitude,Vertical Velocity,Horizontal Velocity,Total Velocity,Drag,Displacement
0.7200000000157161,91.28328647988383,4.369269420022947,0.02043708796350359,4.141820834722757,536.7459639465021,0.0043786034715347765
0.9200000000200816,92.24376259755809,5.280598842065964,0.02105865523438898,5.280640832113909,889.0966274937355,0.006273953987589271
1.0600000000231375,93.05180292739533,6.079750527354698,0.008401380859994995,6.07975633212961,1176.077815034429,0.007808566042176989
1.22000000002663,94.11245844501536,7.1096671134870055,0.014452796144822118,6.995107580182755,1581.7151061440409,0.008878851257315887
1.400000000030559,95.48100313486066,8.027226950871016,0.03962550165154714,8.027301700018391,2085.1111174781486,0.01250564442428081
1.5600000000340515,96.8536597158527,8.94688067756976,0.06722720043031857,8.947115296283618,2624.610860656478,0.019756024009706025
1.720000000037544,98.37367320549674,9.983965837273995,0.03317751582055846,9.868781474543827,3195.2115568751883,0.02820834302932219
1.900000000041473,100.26016161125153,11.023320571809466,0.03146978473875899,10.907686671101159,3911.288188647941,0.027738717473160167
2.120000000046275,102.82030707679223,12.296652635880196,0.058681552157207835,12.180964196911878,4879.83708212894,0.03088940039217884
2.3200000000506407,105.39102127205115,13.457200993137883,0.13658221474619128,13.341785618408165,6007.565078945358,0.0512473691177697
2.5200000000550062,108.1941834455356,14.620828022893754,0.01389282766686445,14.504403911911183,6903.395089186662,0.06513488420796988
2.720000000059372,111.23035517451353,15.787621226913632,0.03728064712382424,15.670856227010871,8234.90531598697,0.06255008424556424
2.9200000000637374,114.50015887035988,16.95723919892696,0.11704560930351983,16.840446432278917,9266.287233728222,0.07589621775321431
3.120000000068103,118.0042168109212,18.1304171947468,0.10907489826871265,18.013348180882243,10888.077290470677,0.10234936738197928
3.3200000000724685,121.74321123422123,19.306872765136376,0.02532194617211542,19.18905803254559,12000.067644757777,0.11115357141250427
3.5000000000763976,125.30972898530308,20.48621804239767,0.08604274448354188,20.36827798971038,13645.817957655105,0.11596517193694242
3.7200000000811997,129.9285434356425,21.787360209633274,0.17977687602557077,21.551059000667525,15347.30082120456,0.14168812515310192
3.9200000000855653,134.37612795375753,23.092213041767828,0.030518685458627227,22.736052942905612,16869.507793972247,0.16546212864418441
4.1800000000912405,140.51317647576798,24.758931415420978,0.1280504599342259,24.40160739850683,19407.348483599057,0.17891895272216646
4.460000000097352,147.57273683906533,26.791137943930945,0.06872805070797253,26.19313131288371,22615.304343850534,0.22646820177451255
4.88000000010652,159.04176793328952,29.554054344001823,0.22647520481275002,28.832258098489845,26774.172349089127,0.2660274357642173
5.320000000116124,172.19439836614765,32.21242075819483,0.10011064665962918,31.365153087350127,31884.38372027876,0.3292738698133777
5.740000000125292,185.8409087259788,34.27628575875949,0.2037838730693897,33.79067669010895,36936.8163473243,0.38442916313106185
6.0800000001327135,198.39093557558954,36.961154952826085,0.17796622902358586,36.22795413198391,41804.935022457474,0.44023491805079595
6.540000000142754,215.57929386920296,39.292097255789855,0.12378519711844359,38.80114977772555,47521.612661479056,0.5188419318224273
6.900000000150612,229.11863666714635,41.510232166956015,0.2510421148606888,40.893787153009825,52252.58018966272,0.5662300815529567
7.3000000001593435,245.96008769818582,44.3576480609696,0.10464015455650076,43.48959287551113,58776.0668110998,0.6608623811741365
7.700000000168075,264.71036791987717,46.72071194356381,0.2867558182217382,46.09860613656466,65740.80933392172,0.7387374401130261
8.120000000177242,284.55865087907296,49.34649564477452,0.22471650146012376,48.72065465975375,72364.56077728247,0.8175768899026875
8.500000000185537,303.4676621319959,51.607506657784725,0.261635867437257,50.97966373640923,79657.69143202323,0.9214079111463505
8.880000000193832,322.218789804494,54.130920765091666,0.33853703718347633,53.500083165625796,86223.50539820889,1.016338112643216
9.360000000204309,349.61981478356756,57.173134667192016,0.21347139700135767,56.53858525604753,95619.57825817697,1.1692485205351282
9.740000000212603,370.3303006555652,59.46375030363482,0.4318309836981105,58.70039039128544,102525.9941949056,1.2721898778556904
10.100000000220462,391.8660626943456,61.63739274370014,0.27890731740929325,60.99757484727044,110186.67233304727,1.4067028614937236
10.480000000228756,416.767081230646,64.33267702731706,0.43571480408876306,63.56254930215101,119493.30773787058,1.5653811538515552
10.900000000237924,442.69603255589027,66.78299567493488,0.42927020417320555,66.1382944834613,127550.84301969387,1.7120776856924687
11.280000000246218,468.2848389953142,69.24231486305905,0.4361627099489114,68.72559785339209,137195.39493149598,1.8835199983170747
11.68000000025495,497.65564208640717,72.10085089446629,0.5692340210602646,71.45177157737352,146316.883426189,2.0818321816313063
12.08000000026368,526.6942455269163,74.71128732918096,0.40217386227611135,74.05888040197908,156946.0222718844,2.2940990361719455
12.440000000271539,552.198500153143,76.93818912806434,0.6255350188156792,76.4154081187816,165466.21231343734,2.4555403889859693
12.84000000028027,584.7499751469586,79.56973206552928,0.4923756736911112,79.04352140410167,175689.57119593743,2.6784142171095318
13.240000000289001,616.8311910408083,82.34340028070656,0.6060078091571387,81.55192990262435,186800.03593207838,2.9230483312534696
13.640000000297732,649.9700823494932,84.59717176654256,0.6032907859907899,84.20079871882868,196497.22817163134,3.1266036253684275
13.94000000030428,675.520705326111,86.85796578743421,0.6531705474114959,86.19507481367336,206218.37478898963,3.329591942080258
14.380000000313885,714.0788205887657,89.79527716152526,0.7173845533306084,89.26263233296663,216683.4284342218,3.6251190062488763
14.740000000321743,746.5884995298693,92.20814527122187,0.6335904964823779,91.53969349483307,226677.60349531053,3.8851864369589157
15.080000000329164,776.2156863890123,94.49469189615871,0.7829530500963279,93.95864301204496,235755.2252871573,4.088948085190471
